name,latitude,longitude,category_name,venues
Morumbi Town,-23.631746960866803,-46.73736333847045,Arts & Entertainment,11
Morumbi Town,-23.631746960866803,-46.73736333847045,College & University,15
Morumbi Town,-23.631746960866803,-46.73736333847045,Event,6
Morumbi Town,-23.631746960866803,-46.73736333847045,Food,46
Morumbi Town,-23.631746960866803,-46.73736333847045,Nightlife Spot,5
Morumbi Town,-23.631746960866803,-46.73736333847045,Outdoors & Recreation,48
Morumbi Town,-23.631746960866803,-46.73736333847045,Professional & Other Places,57
Morumbi Town,-23.631746960866803,-46.73736333847045,Residence,44
Morumbi Town,-23.631746960866803,-46.73736333847045,Shop & Service,96
Morumbi Town,-23.631746960866803,-46.73736333847045,Travel & Transport,9
Shopping Pátio Higienópolis,-23.54235057146529,-46.65744868488061,Arts & Entertainment,24
Shopping Pátio Higienópolis,-23.54235057146529,-46.65744868488061,College & University,79
Shopping Pátio Higienópolis,-23.54235057146529,-46.65744868488061,Event,4
Shopping Pátio Higienópolis,-23.54235057146529,-46.65744868488061,Food,193
Shopping Pátio Higienópolis,-23.54235057146529,-46.65744868488061,Nightlife Spot,57
Shopping Pátio Higienópolis,-23.54235057146529,-46.65744868488061,Outdoors & Recreation,76
Shopping Pátio Higienópolis,-23.54235057146529,-46.65744868488061,Professional & Other Places,80
Shopping Pátio Higienópolis,-23.54235057146529,-46.65744868488061,Residence,18
Shopping Pátio Higienópolis,-23.54235057146529,-46.65744868488061,Shop & Service,105
Shopping Pátio Higienópolis,-23.54235057146529,-46.65744868488061,Travel & Transport,26
Shopping Jardim Sul,-23.631236009958133,-46.73591433309551,Arts & Entertainment,11
Shopping Jardim Sul,-23.631236009958133,-46.73591433309551,College & University,17
Shopping Jardim Sul,-23.631236009958133,-46.73591433309551,Event,6
Shopping Jardim Sul,-23.631236009958133,-46.73591433309551,Food,81
Shopping Jardim Sul,-23.631236009958133,-46.73591433309551,Nightlife Spot,6
Shopping Jardim Sul,-23.631236009958133,-46.73591433309551,Outdoors & Recreation,47
Shopping Jardim Sul,-23.631236009958133,-46.73591433309551,Professional & Other Places,59
Shopping Jardim Sul,-23.631236009958133,-46.73591433309551,Residence,43
Shopping Jardim Sul,-23.631236009958133,-46.73591433309551,Shop & Service,95
Shopping Jardim Sul,-23.631236009958133,-46.73591433309551,Travel & Transport,4
The Square Open Mall,-23.589987572319743,-46.82470911732474,Arts & Entertainment,5
The Square Open Mall,-23.589987572319743,-46.82470911732474,College & University,7
The Square Open Mall,-23.589987572319743,-46.82470911732474,Event,2
The Square Open Mall,-23.589987572319743,-46.82470911732474,Food,44
The Square Open Mall,-23.589987572319743,-46.82470911732474,Nightlife Spot,5
The Square Open Mall,-23.589987572319743,-46.82470911732474,Outdoors & Recreation,7
The Square Open Mall,-23.589987572319743,-46.82470911732474,Professional & Other Places,24
The Square Open Mall,-23.589987572319743,-46.82470911732474,Residence,10
The Square Open Mall,-23.589987572319743,-46.82470911732474,Shop & Service,75
The Square Open Mall,-23.589987572319743,-46.82470911732474,Travel & Transport,4
Grand Plaza Shopping,-23.649493293202056,-46.531661543137304,Arts & Entertainment,9
Grand Plaza Shopping,-23.649493293202056,-46.531661543137304,College & University,52
Grand Plaza Shopping,-23.649493293202056,-46.531661543137304,Event,3
Grand Plaza Shopping,-23.649493293202056,-46.531661543137304,Food,134
Grand Plaza Shopping,-23.649493293202056,-46.531661543137304,Nightlife Spot,32
Grand Plaza Shopping,-23.649493293202056,-46.531661543137304,Outdoors & Recreation,24
Grand Plaza Shopping,-23.649493293202056,-46.531661543137304,Professional & Other Places,66
Grand Plaza Shopping,-23.649493293202056,-46.531661543137304,Residence,15
Grand Plaza Shopping,-23.649493293202056,-46.531661543137304,Shop & Service,74
Grand Plaza Shopping,-23.649493293202056,-46.531661543137304,Travel & Transport,13
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,Arts & Entertainment,4
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,College & University,7
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,Event,0
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,Food,72
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,Nightlife Spot,12
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,Outdoors & Recreation,16
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,Professional & Other Places,28
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,Residence,7
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,Shop & Service,71
Shopping Aricanduva,-23.565533506966553,-46.50362572483569,Travel & Transport,8
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,Arts & Entertainment,3
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,College & University,8
ParkShoppingSãoCaetano,-23.626249197876643,-46.57988219996115,Event,0
